Project #,Request Status,Queue Date,Withdrawn Date,Done Date,Appl In Service Date,Transmission Owner,County,State,County FIPS Code,Study Cycle,Study Group,Study Phase,Service Type,POI Name,Summer MW,Winter MW,Fuel,Generating Facility,Post GIA Status,Negotiated In Service Date,Decision Point 1 ERIS MW,Decision Point 1 NRIS MW,Decision Point 2 ERIS MW,Decision Point 2 NRIS MW
R35,Done,1/1/00,,5/4/15,,MidAmerican Energy Company,Calhoun County,IA,19025,,,DPP - SIS,,Pomeroy Wind Farm site,80,80,Wind,WT Wind Turbine,In Service,11/1/08,0,0,0,0
Temp3257,Done,12/31/69,,,,-- No Company --,,,#N/A,,,,,Unknown,0,0,,,Not Started,,0,0,0,0
G001,Withdrawn,11/8/95,,,,American Transmission Co. LLC,Brown County,WI,55009,,,SPA - SIS,ERIS,Unknown,255,255,,,Withdrawn,11/17/14,0,0,0,0
G194 CONS 7,Withdrawn,11/10/98,,,,"Michigan Electric Transmission Company, LLC",Saginaw County,MI,26145,,,,ERIS,Unknown,300,300,,,Not Started,6/1/05,0,0,0,0
G002,Done,12/1/98,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Coal,,Not Started,1/1/16,0,0,0,0
G003,Done,12/1/98,,,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Trimble County,KY,21223,,,,ERIS,Unknown,174,174,Coal,,Not Started,1/1/04,0,0,0,0
G004,Withdrawn,12/1/98,6/21/02,6/21/02,,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,Mercer County,KY,21167,,,,ERIS,Unknown,174,174,,,Withdrawn,6/1/04,0,0,0,0
G005,Done,2/15/99,,,,Northern States Power (Xcel Energy),Lincoln County,MN,27081,,,,ERIS,Unknown,29,29,Combined Cycle,,Not Started,6/1/04,0,0,0,0
G006,Done,2/15/99,,,,Northern States Power (Xcel Energy),Clay County,MN,27027,,,,ERIS,Unknown,2,2,Wind,WT Wind Turbine,Not Started,6/1/04,0,0,0,0
G009,Withdrawn,7/30/99,7/16/03,7/16/03,,Duke Energy Corporation,Vigo County,IN,18167,G009.NU2,G009.NU2,Network Upgrade,ERIS,Unknown,640,640,,,Withdrawn,,0,0,0,0
G010,Done,8/13/99,,,,Duke Energy Corporation,Vigo County,IN,18167,G010,G010,Network Upgrade,ERIS,Dresser - Cayuga CT 345kV,500,500,Gas,"ST, CT",In Service,8/31/07,0,0,0,0
G011,Withdrawn,10/8/99,4/2/03,4/2/03,,Duke Energy Corporation,Pike County,IN,18125,,,SPA - SIS,ERIS,Unknown,900,900,Gas,,Withdrawn,6/1/02,0,0,0,0
G012,Withdrawn,10/14/99,12/3/03,12/3/03,,ITC Transmission,St. Clair County,MI,26147,,,,ERIS,Unknown,930,930,,,Not Started,,0,0,0,0
G013,Withdrawn,10/21/99,,,,American Transmission Co. LLC,Manitowoc County,WI,55071,,,,ERIS,Unknown,99,99,,,Not Started,6/1/03,0,0,0,0
